RNGSource;RNGTarget;RNGDistance;
230;1083;3,8729833;
230;2312;4,5825757;
230;2492;4,0000000;
231;2207;4,3588989;
231;2564;3,6055513;
231;2811;4,1231056;
231;2841;3,4641016;
231;3641;4,2426407;
232;780;3,8729833;
232;2704;3,7416574;
232;2838;3,6055513;
232;3205;3,6055513;
232;3808;3,4641016;
233;387;4,2426407;
233;1441;4,0000000;
233;2722;4,5825757;
233;2869;4,4721360;
233;3279;4,2426407;
234;404;4,0000000;
234;547;3,6055513;
234;1120;3,6055513;
234;2898;4,0000000;
235;2442;3,4641016;
236;1239;4,0000000;
236;1667;3,6055513;
236;1986;3,8729833;
236;2029;4,2426407;
236;2095;4,0000000;
237;599;4,1231056;
237;2131;3,6055513;
237;2802;3,8729833;
237;2949;4,2426407;
237;2950;4,5825757;
237;3013;3,7416574;
238;269;3,3166248;
238;1764;3,4641016;
238;1813;4,4721360;
238;1834;3,8729833;
239;1160;3,0000000;
239;1560;4,6904158;
239;1881;4,2426407;
239;2657;4,3588989;
240;737;3,7416574;
240;844;3,6055513;
240;1107;3,4641016;
240;2375;3,6055513;
240;2881;4,1231056;
241;459;3,8729833;
241;1384;3,8729833;
241;1814;4,2426407;
241;2667;4,3588989;
241;3054;4,1231056;
241;3199;3,7416574;
241;3902;4,2426407;
242;1301;4,1231056;
242;1448;3,7416574;
242;1895;3,0000000;
242;2941;3,3166248;
242;3830;4,1231056;
243;566;4,4721360;
243;671;4,2426407;
243;1215;3,1622777;
243;1407;4,4721360;
243;1555;4,0000000;
243;3975;4,4721360;
244;2410;3,4641016;
244;3298;3,7416574;
245;514;4,1231056;
245;605;4,6904158;
245;1045;4,0000000;
245;1281;3,8729833;
245;1529;3,6055513;
245;2493;3,1622777;
245;2564;3,1622777;
245;2597;3,6055513;
246;901;3,4641016;
246;1807;3,3166248;
246;2379;3,6055513;
246;2515;3,6055513;
247;760;3,4641016;
247;1607;3,6055513;
247;1783;3,1622777;
247;1853;3,0000000;
247;2151;2,8284271;
247;2229;3,1622777;
247;2638;3,6055513;
248;366;5,0000000;
248;530;4,1231056;
248;1645;3,6055513;
248;2090;4,3588989;
248;2226;4,3588989;
248;3058;2,8284271;
248;3612;3,1622777;
248;3621;3,8729833;
248;3936;4,2426407;
249;857;3,6055513;
249;1689;4,5825757;
249;1910;4,1231056;
249;2382;3,0000000;
249;2862;4,4721360;
250;1918;4,1231056;
250;2161;3,4641016;
251;1186;3,1622777;
251;1920;3,4641016;
251;2633;3,7416574;
251;3157;3,4641016;
251;3256;3,8729833;
252;433;4,1231056;
252;1587;2,8284271;
252;2373;2,6457513;
252;3368;4,7958315;
252;3717;3,1622777;
253;1066;3,8729833;
253;1502;3,3166248;
253;2604;3,6055513;
253;3348;4,1231056;
253;3506;4,0000000;
254;480;4,2426407;
254;1872;4,5825757;
254;3030;3,6055513;
255;406;3,3166248;
255;570;4,5825757;
255;2818;3,8729833;
255;2992;3,1622777;
255;3105;3,8729833;
255;3214;4,3588989;
256;1197;2,4494897;
256;2362;3,6055513;
257;1455;4,3588989;
257;2166;3,6055513;
257;2621;4,1231056;
257;3474;3,4641016;
258;348;3,3166248;
258;2819;3,6055513;
258;3322;3,7416574;
259;318;4,8989795;
259;1931;4,2426407;
259;3178;3,6055513;
259;3760;4,1231056;
260;1527;3,3166248;
260;2689;4,0000000;
